category,position,dimension_m,direction,note
南侧立面,主卧南开间,6.30,水平,外墙净长
南侧立面,主卧西侧外转角,0.325,垂直,墙垛偏移
南侧立面,阳台外墙折角A,0.08,水平,墙厚结构
南侧立面,阳台外墙折角B,0.49,垂直,局部凹槽
南侧立面,南阳台西侧深,2.61,垂直,侧壁长度
南侧立面,阳台转角微凸,0.105,水平,交接偏移
南侧立面,南主阳台宽度,6.40,水平,阳台外跨总长
南侧立面,南主阳台进深,2.18,垂直,阳台外挑
南侧立面,中间次卧南外挑,0.22,垂直,飘窗进深
南侧立面,中间次卧南宽度,3.00,水平,飘窗宽度
南侧立面,中间室内进深,3.30,垂直,内墙纵深
西侧立面,西主外墙总长,7.55,垂直,主承重边界
西侧立面,西北飘窗分段A,1.80,水平,窗台分段
西侧立面,西北墙凸垛,0.05,垂直,结构厚度
西侧立面,西北窗台核心,2.90,水平,主要采光面
西侧立面,交接墙垛,0.50,垂直,平台衔接
西侧立面,设备平台边墙,1.60,水平,机位边界
北侧立面,北卧室内宽度,3.60,水平,次卧净长
北侧立面,北卧室内进深,2.30,垂直,次卧进深
北侧立面,北向局部纵墙,2.84,垂直,核心承重墙
北侧立面,外廊入户门开间,3.24,水平,开敞外廊
北侧立面,外廊入户通道深,1.20,垂直,开敞外廊
东侧交接,与电梯井交界纵深,1.65,垂直,共用分界
东侧交接,管井转角交界A,0.725,水平,共用分界
东侧交接,管井转角交界B,0.75,垂直,共用分界
东侧交接,走廊墙体交界,1.775,垂直,入户核心边界
公共核心筒,楼梯电梯井横向,5.15,水平,参考尺寸
公共核心筒,楼梯电梯井纵向,4.90,垂直,参考尺寸
